Pedido;Cliente;Produto;Valor Venda;Quantidade Vendida;Custo Envio;Data Pedido
US-2014-135013;HR-14830;TEC-CO-10001449;2399,96;5;630,05;18/09/2014
IN-2011-10286;PB-19210;FUR-BO-10001372;2197,5;5;627,27;25/07/2014
MZ-2013-3690;DG-3300;TEC-MOT-10002272;2582,16;4;627,17;18/12/2013
IN-2012-66342;SG-20470;TEC-CO-10004997;1526,52;4;625,77;30/05/2012
CA-2012-111829;FH-14365;TEC-CO-10001766;3149,93;7;617,92;19/03/2012
IN-2012-48240;GP-14740;FUR-TA-10000226;1745,34;2;616,27;25/05/2012
IN-2014-61792;MW-18220;OFF-AP-10002244;4191,507;9;614,34;05/08/2014
CA-2014-129021;PO-18850;TEC-PH-10001459;4367,896;13;609,44;24/08/2014
IN-2014-75470;CS-12460;FUR-BO-10001073;3063,27;7;609,24;11/03/2014
CA-2012-114811;KD-16495;TEC-MA-10000045;4643,8;4;607,34;08/11/2012
ES-2014-4673578;MS-17980;TEC-PH-10002035;4473;7;604,4;11/08/2014
IT-2013-3376681;KC-16675;TEC-PH-10002565;1502,01;9;600,21;31/08/2013
IN-2014-66615;DB-13405;FUR-CH-10000027;5049;11;595,5;18/01/2014
CA-2013-143805;JD-15895;OFF-AP-10002945;2104,55;7;594,02;02/12/2013
IT-2014-4540740;DK-13090;FUR-BO-10004999;2188,05;5;593,91;07/12/2014
IN-2014-11231;CS-11845;FUR-TA-10001205;1920,36;4;592,77;16/12/2014
MX-2014-154907;EM-14200;TEC-PH-10004196;1704;4;592,73;20/11/2014
UP-2011-8610;DW-3480;FUR-CHR-10001018;1858,68;4;590,56;09/11/2011
IN-2013-40050;AS-10225;FUR-CH-10003232;3298,26;7;589,36;07/06/2013
MX-2011-110275;ST-20530;OFF-AP-10001630;2443,48;13;589,29;22/11/2011
CG-2013-6110;BW-1065;FUR-HAR-10002873;3808,8;8;588,13;29/03/2013
IN-2014-30110;LA-16780;FUR-TA-10000687;3427,1496;7;586,57;26/08/2014
ES-2012-2058076;AB-10150;TEC-PH-10004505;3441,69;6;585,25;20/09/2012
IN-2014-51950;JH-15820;TEC-PH-10002683;2863,35;5;581,88;16/05/2014
CA-2012-145352;CM-12385;OFF-BI-10003527;6354,95;5;581,12;16/03/2012
ES-2013-4670866;BE-11410;TEC-CO-10002269;1487,4;10;580,98;24/11/2013
IN-2011-62506;SZ-20035;TEC-CO-10002526;3200,04;9;576,71;09/11/2011
IN-2011-46413;RM-19375;FUR-CH-10000602;2301;5;573,27;28/10/2011
ES-2014-3785216;HG-14845;FUR-CH-10002891;5729,346;14;572,95;19/11/2014
MO-2014-2000;DP-3105;TEC-CAN-10001437;5301,24;14;568,45;28/10/2014
CA-2014-138289;AR-10540;OFF-BI-10004995;5443,96;4;567,95;17/01/2014
CA-2014-118892;TP-21415;FUR-CH-10002024;4416,174;9;566,65;18/08/2014
ES-2013-1434123;JB-16000;TEC-PH-10004327;3219,9;5;564,25;29/01/2013
ID-2012-78207;AM-10705;OFF-AP-10001621;2487,8088;6;562,14;18/09/2012
MO-2013-8630;AB-255;OFF-HOO-10001881;2266,44;4;556,45;23/11/2013
IN-2012-64774;RP-19270;TEC-CO-10001954;3068,361;9;555,77;13/06/2012
IN-2013-48765;BK-11260;FUR-BO-10003282;3728,43;9;553,31;28/10/2013
IN-2013-69730;JM-15250;TEC-CO-10003102;1581,48;6;550,74;12/12/2013
IN-2012-48240;GP-14740;TEC-PH-10004664;1916,73;3;548,4;06/05/2013
US-2013-102239;LW-16990;FUR-TA-10003392;1685,88;6;548,08;02/12/2013
ES-2013-3467296;NZ-18565;OFF-AP-10002552;2432,16;5;546,9;23/12/2014
CA-2014-6550;SV-10815;TEC-MOT-10000554;3863,88;6;546,56;28/01/2013
ID-2013-25742;SC-20695;FUR-CH-10001415;2465,82;7;546,49;07/05/2012
IN-2012-86698;NC-18625;FUR-TA-10003627;1847,52;2;545,89;27/11/2013
ES-2013-2903666;NF-18385;FUR-BO-10001133;2899,89;7;541,59;28/11/2012
IN-2012-30446;NZ-18565;FUR-CH-10000027;2891,7;7;541,57;29/09/2012
IT-2012-1779015;PM-18940;TEC-MA-10003515;2016,846;9;540,77;03/09/2013
ES-2013-3903130;MZ-17335;OFF-AP-10002904;3155,544;7;539,94;26/07/2013
CG-2013-3470;HM-4980;TEC-MOT-10003348;3856,14;6;533,99;19/11/2014
IN-2014-13639;RW-19540;TEC-PH-10001990;3524,472;6;531,28;19/06/2012
ES-2012-2510515;LH-17155;TEC-PH-10002898;2167,296;4;531,09;11/10/2012
MX-2012-153157;FH-14365;TEC-PH-10004196;2556;6;530,49;09/08/2011
ES-2011-2585328;KM-16660;TEC-CO-10001633;1469,25;5;527,87;05/11/2011
ES-2011-4500805;PO-18865;TEC-PH-10002623;4448,832;8;527,85;07/11/2014
CA-2014-107174;AB-10060;FUR-TA-10004575;2036,86;7;524,76;26/04/2013
MX-2013-113824;AB-10060;FUR-BO-10001498;2472,66;9;523,47;26/12/2013
IN-2013-45076;DB-13060;OFF-AP-10003598;3739,176;8;522,79;13/03/2013
IT-2013-5208514;VM-21685;FUR-CH-10001582;2570,865;11;520,89;17/04/2013
US-2013-107440;BS-11365;TEC-MA-10001047;9099,93;7;516,91;05/04/2012
ES-2012-2314672;DM-13525;TEC-PH-10000505;2875,77;9;516,63;26/12/2012
ES-2012-4765389;NM-18520;FUR-BO-10002003;1741,8;4;515,24;18/04/2013
IN-2013-15368;LC-16885;TEC-CO-10001775;1601,64;5;511,47;24/05/2011
IN-2011-18385;RO-19780;OFF-AP-10000647;3670,8;7;510,72;22/05/2012
CA-2012-149846;SB-20185;TEC-MA-10004002;2973,32;7;510,18;16/05/2013
ES-2013-2757712;EM-14065;TEC-CO-10001926;1900,95;5;506,89;06/12/2011
CA-2011-106726;RS-19765;OFF-ST-10001496;1261,33;7;506,49;16/02/2011
IT-2011-1978668;ON-18715;FUR-CH-10002203;4544,1;11;506,27;31/05/2013
IN-2013-63773;VS-21820;FUR-BO-10001934;1455,12;4;504,56;01/10/2013
IN-2013-10965;CM-12115;TEC-CO-10000562;1943,19;6;499,62;14/12/2011
CA-2011-145541;TB-21400;TEC-MA-10001127;6999,96;4;499,55;18/12/2013
CA-2013-117121;AB-10105;OFF-BI-10000545;9892,74;13;498,7;11/12/2013
ID-2013-79432;JK-15325;TEC-CO-10002035;1695,87;5;498,62;18/03/2014
IT-2014-4499061;RP-19270;TEC-CO-10004099;1505,979;6;498,52;19/12/2014
IN-2014-34226;DW-13540;TEC-PH-10003002;1954,17;3;498,38;20/12/2011
CA-2011-136567;PS-19045;FUR-TA-10001932;2244,48;7;498,14;24/05/2013
CA-2013-143714;CC-12370;TEC-CO-10004722;8399,976;4;498,08;14/10/2011
CA-2011-151330;TC-21295;FUR-CH-10000749;1628,82;9;496,46;18/09/2014
MX-2014-158386;GM-14440;TEC-CO-10004398;1213,18876;7;493,41;25/11/2013
IN-2013-30663;SV-20815;TEC-CO-10004535;1590,6;5;493,2;07/11/2013
IN-2013-77444;MM-17920;TEC-AC-10000420;2330,64;9;492,79;19/07/2014
IN-2014-39077;JK-16120;FUR-BO-10001212;3278,5848;8;492,28;16/08/2012
ID-2012-60980;EM-14200;TEC-PH-10001670;3741,5238;7;491,91;27/08/2013
CA-2013-128594;DJ-13510;FUR-CH-10001215;1603,136;4;489,6;11/01/2012
IN-2012-57025;PM-18940;FUR-BO-10004679;3637,602;10;487,86;28/01/2013
MX-2013-157868;AT-10435;OFF-AP-10001776;2455,88;7;487,48;14/06/2012
ID-2012-66111;AB-10015;TEC-MA-10003704;1024,68;8;487,32;01/12/2011
CA-2011-120474;RP-19390;FUR-CH-10001854;2807,84;8;487,15;25/06/2013
CA-2013-100300;MJ-17740;TEC-MA-10000984;4476,8;4;485,47;06/12/2012
MX-2012-164791;PV-18985;TEC-AC-10000376;2297,96;14;483,26;05/09/2013
IT-2013-1350483;SB-20290;TEC-CO-10003800;2671,41;7;483,04;18/09/2014
SO-2014-4990;SM-10005;TEC-SAM-10004230;3834;6;481,04;12/09/2014
CA-2014-149559;KF-16285;FUR-CH-10002320;2054,272;8;480,56;03/08/2012
IN-2012-30943;KH-16330;OFF-AP-10002312;3501,7368;8;479,96;09/12/2014
IN-2014-13324;MP-18175;TEC-PH-10000169;1725,462;3;479,94;25/10/2012
IN-2012-46889;LH-17020;TEC-CO-10000865;1583,7;5;479,67;13/07/2012
CA-2012-114069;ND-18370;FUR-CH-10000595;1931,04;9;477,15;27/08/2013
ID-2013-35640;CR-12625;FUR-BO-10000288;2760,345;7;475,34;13/05/2011
IN-2011-30292;NC-18625;TEC-AC-10000866;3078,72;12;474,44;03/11/2011
IT-2011-3675195;GM-14680;OFF-AP-10001623;1983,135;7;473,27;02/08/2014
ES-2014-2034971;RA-19945;FUR-BO-10003541;1112,778;3;472;20/09/2011
ES-2011-1426891;DB-13060;TEC-CO-10004365;3616,5;10;471,92;08/01/2014
CA-2014-159366;BW-11110;TEC-MA-10000822;3059,982;2;471,22;11/03/2013
IN-2013-14773;RF-19735;TEC-PH-10000499;2892,105;5;470,29;02/02/2012
ES-2012-4934238;JH-15820;TEC-PH-10000800;3263,4;5;469,29;09/09/2013
CA-2013-108987;AG-10675;FUR-BO-10004834;2396,2656;4;469,16;09/04/2014
MX-2014-111941;DM-12955;FUR-TA-10001642;3117,088;13;466,7;02/03/2013
US-2013-143819;KD-16270;TEC-MA-10003979;4899,93;7;466,33;19/03/2014
MX-2014-152961;BE-11335;OFF-AP-10001041;1888,7;5;465,92;02/10/2013
IN-2013-17041;SO-20335;OFF-AP-10002090;3000,78;6;465,63;12/01/2013
ES-2013-4679331;DK-12835;OFF-AP-10002330;3801,63;7;465,02;20/08/2014
SA-2014-1270;LC-7050;TEC-CIS-10002344;5211,12;8;463,98;14/03/2014
IN-2011-10286;PB-19210;FUR-TA-10002153;1356,03;3;458,97;26/03/2013
IN-2014-12897;CG-12520;OFF-AP-10004964;3569,643;7;458,54;09/07/2014
CA-2013-134887;TB-21280;TEC-AC-10003832;1287,45;5;457,14;11/06/2013
ID-2014-10076;HG-15025;FUR-BO-10004679;2910,0816;8;456,32;10/08/2011
ID-2013-70122;AD-10180;FUR-CH-10002061;3126,4002;9;455,71;17/03/2014
ES-2011-2257437;BP-11155;TEC-PH-10002759;5276,988;9;454,81;02/01/2013
ID-2014-63920;AA-10480;TEC-PH-10001699;2645,376;5;452,6;26/11/2013
ID-2013-29564;RL-19615;FUR-BO-10001934;1637,01;5;452,28;10/10/2012
CA-2013-108196;CS-12505;TEC-MA-10000418;4499,985;5;451,63;23/10/2014
ID-2012-36403;SW-20245;TEC-PH-10001699;2645,376;5;451,03;17/06/2011
CA-2014-127180;TA-21385;TEC-PH-10001494;2399,6;8;449,45;03/04/2014
IN-2011-19351;BW-11110;FUR-TA-10001889;3238,305;5;449,18;17/05/2011
ES-2014-5842530;YC-21895;FUR-BO-10000490;2291,814;7;448,91;11/02/2014
MX-2011-137897;JM-15580;TEC-PH-10000018;2124,5;5;447,66;12/10/2013
BO-2014-8960;MZ-7335;FUR-HON-10003533;2757,78;6;446,33;19/09/2011
ES-2013-2220066;JF-15295;TEC-AC-10001949;1549,98;6;443,92;17/07/2014
CA-2011-127299;JL-15835;TEC-MA-10001127;2624,985;3;443,69;22/11/2014
UP-2014-4500;DJ-3510;OFF-HOO-10004910;3146,4;6;443,55;30/05/2011
ES-2014-2440513;MF-18250;TEC-MA-10001335;2456,619;11;442,49;01/04/2014
IT-2011-5629016;TC-21295;FUR-TA-10000347;2228,6355;7;440,25;17/07/2014
CA-2014-133263;JE-15610;TEC-CO-10001449;2999,95;5;439,69;29/08/2014
IN-2014-65488;CP-12340;OFF-AP-10002090;4001,04;8;439,65;26/12/2012
ES-2014-5530354;EH-14125;TEC-PH-10000493;4876,875;9;439,41;01/05/2013
IN-2012-23782;NC-18340;FUR-TA-10003596;1788,822;6;439,03;16/08/2011
IN-2014-37320;BF-11005;OFF-AP-10002244;3622,29;7;438,89;03/12/2014
ID-2013-31720;JS-16030;FUR-TA-10003179;1242,585;5;437,85;25/06/2013
ES-2011-1712442;AM-10360;TEC-PH-10001396;4453,05;7;433,41;21/01/2013
IN-2014-78900;JF-15190;FUR-TA-10003078;2673,36;8;432,57;22/10/2013
IN-2013-37803;AB-10015;FUR-CH-10003581;2046,195;5;432,15;12/07/2014
ES-2013-3939561;JG-15160;FUR-TA-10000184;5451,3;6;432,13;26/12/2013
CA-2013-138478;DP-13390;OFF-BI-10001120;4535,976;3;431,68;01/09/2014
IN-2014-56808;AG-10330;OFF-AP-10001956;1722,2832;4;430,04;17/11/2011
US-2013-116729;GK-14620;TEC-PH-10002200;2575,944;7;429,66;07/06/2011
ES-2014-1972860;NF-18475;OFF-AP-10003382;1007,424;2;428,83;13/10/2011
CA-2011-119375;YC-21895;OFF-ST-10002011;2934,33;7;428,8;10/06/2013
IN-2011-64326;DR-12940;OFF-AP-10003917;4624,29;9;427,46;13/12/2014
ES-2011-3259196;NB-18655;OFF-ST-10002900;1066,446;6;427,24;13/10/2014
IN-2013-48184;NM-18445;TEC-CO-10003819;957,6;4;427,1;10/06/2014
IN-2014-77017;TA-21385;OFF-AP-10000675;4864,32;10;426,09;15/02/2011
CA-2014-150091;NP-18670;FUR-BO-10003404;2154,9;5;426,05;28/11/2013
ID-2014-31363;SC-20380;OFF-AP-10001824;1433,8395;3;424,81;18/06/2014
SF-2011-6380;PA-9060;OFF-SME-10000746;2784,6;14;422,25;20/09/2013
ES-2013-1692384;RB-19570;FUR-BO-10004999;3063,27;7;419,38;09/08/2011
CA-2014-165323;SR-20740;TEC-MA-10003673;3404,5;5;419,06;21/06/2011
CA-2013-168354;RH-19510;OFF-ST-10001490;1606,23;9;418,26;02/08/2012
US-2011-158554;LH-16750;TEC-PH-10004196;2044,8;6;417,99;16/07/2012
CA-2011-141796;JG-15160;TEC-PH-10001578;1214,85;3;417,47;02/08/2013
IN-2012-12162;KB-16585;TEC-CO-10000208;1521;4;416,74;22/05/2014
ES-2012-2510515;LH-17155;OFF-AP-10002330;2443,905;5;416,33;10/02/2011
CA-2012-113404;EM-13810;FUR-CH-10003312;1348,704;6;415,69;27/09/2013
IR-2013-8520;MZ-7515;TEC-EPS-10000053;1141,8;10;415,01;02/06/2014
IN-2014-68463;DM-13345;OFF-ST-10004060;1865,97;9;413,95;30/09/2013
ID-2011-64599;CA-11965;TEC-PH-10000303;6998,64;11;413,8;19/07/2011
ES-2013-4632541;SC-20305;FUR-BO-10002708;1091,25;3;411,64;14/08/2014
IN-2014-23761;MH-18115;FUR-BO-10000210;1094,22;3;411,06;26/07/2013
IN-2013-16964;KS-16300;FUR-BO-10001192;1320,624;4;410,88;31/10/2014
IN-2011-76989;BG-11740;TEC-PH-10004664;2555,64;4;410,22;25/07/2013
RS-2014-4620;CR-2625;FUR-SAU-10002255;3498,72;8;410,05;07/10/2014
CA-2013-147417;CB-12415;TEC-CO-10001449;1439,976;4;408,79;17/10/2014
IN-2014-61393;DK-13090;TEC-CO-10001954;2272,86;6;406,53;03/12/2013
IN-2013-13891;JL-15835;TEC-PH-10003002;5211,12;8;404,97;08/11/2014
IN-2014-32770;AP-10720;TEC-PH-10003856;2582,16;4;404,08;21/09/2011
IN-2014-14780;CR-12820;TEC-PH-10004664;3194,55;5;403,97;21/06/2011
IN-2013-71585;BF-11080;FUR-CH-10000974;1704,996;4;403,46;09/05/2014
IN-2014-20485;JM-15265;OFF-AP-10003866;1538,721;6;403,26;23/09/2014
IN-2013-48184;NM-18445;FUR-CH-10003616;1381,32;3;403,15;26/11/2014
IT-2011-4771701;TW-21025;FUR-BO-10004999;1181,547;3;401,25;30/03/2012
IT-2011-2876489;RB-19330;FUR-CH-10000479;1696,248;4;401,13;10/11/2011
CA-2014-133865;PS-19045;TEC-CO-10001046;3359,952;6;400,6;22/08/2014
CA-2014-158379;JA-15970;OFF-SU-10002881;4663,736;7;400,04;01/08/2012
SF-2014-2330;AB-60;OFF-HOO-10000318;1237,56;4;400,03;23/12/2014
EG-2012-4640;JR-5670;TEC-NOK-10001283;1274,7;2;399,96;04/07/2014
MX-2011-138002;MD-17350;OFF-AP-10000407;3172,14;9;399,85;21/11/2014
US-2014-102183;PK-19075;OFF-BI-10001359;4305,552;6;398,64;23/01/2013
ES-2012-5113958;EB-13840;OFF-AP-10004512;3979,29;7;398,5;21/05/2011
CA-2014-120376;TP-21130;FUR-CH-10002335;1586,69;7;397,52;28/09/2014
CA-2014-168109;JK-15640;TEC-MA-10001148;2395,2;6;396,92;06/11/2011
CA-2014-111556;CD-11920;TEC-PH-10001459;1259,97;3;394,57;28/01/2014
AJ-2013-2640;JL-5835;FUR-BAR-10004434;2058;4;393,62;13/09/2014
IN-2011-67651;EP-13915;FUR-BO-10002444;2539,8765;7;393,58;01/12/2012
ES-2014-4957212;MS-17770;FUR-BO-10004709;2898,21;7;393,46;22/12/2011
IT-2011-3528798;CM-12655;TEC-MA-10004772;1320,0075;5;390,2;05/02/2013
LH-2014-5390;JC-6105;FUR-BAR-10003532;2171,16;8;390,09;28/12/2011
IN-2014-32588;GB-14530;TEC-CO-10002911;4448,223;13;386,38;28/05/2013
CA-2012-137113;TW-21025;FUR-TA-10001705;1913,4;9;386,21;27/04/2011
US-2011-161760;JH-16180;TEC-PH-10000169;2300,616;9;386;06/10/2011
EG-2013-4530;MT-8070;FUR-SAU-10004653;2615,94;6;384,41;24/08/2013
IN-2011-51964;AB-10105;TEC-CO-10002526;1066,68;3;383,68;21/09/2013
CA-2013-122903;LA-16780;FUR-CH-10002024;3504,9;5;383,35;17/12/2014
LT-2011-270;CV-2805;TEC-NOK-10004339;2544,6;4;383,01;19/09/2011
IN-2011-86278;NH-18610;FUR-TA-10000022;3694,68;4;382,77;21/05/2011
ID-2013-17055;HJ-14875;FUR-TA-10002153;2214,849;7;382,1;03/06/2014
MX-2013-151764;JL-15175;FUR-CH-10000843;1236,48;4;381,22;12/09/2014
MX-2014-124744;MY-18295;OFF-AP-10002681;1805,9;5;381,14;17/04/2014
US-2011-106992;SB-20290;TEC-MA-10000822;3059,982;3;380,77;21/11/2012
CA-2014-168109;JK-15640;TEC-AC-10002049;1687,8;4;379,56;06/03/2014
CA-2011-117639;MW-18235;OFF-BI-10003925;2715,93;7;378,83;23/07/2012
MX-2014-140305;KC-16540;OFF-AP-10004627;1810,3;5;378,26;07/11/2014
MX-2014-113845;CS-12460;TEC-PH-10001076;2120,5;5;377,7;22/11/2014
IN-2014-61932;HA-14920;TEC-PH-10001457;1275;2;377,58;11/06/2011
ES-2012-4589770;MT-17815;TEC-MA-10004534;1593,648;7;377,03;14/09/2012
ES-2014-1331794;FW-14395;FUR-BO-10003991;1114,236;3;376,88;25/11/2011
ES-2012-4621754;BH-11710;TEC-PH-10002623;2944,08;5;376,58;10/08/2012
ID-2014-41191;DK-12895;OFF-AP-10002793;3309,2598;7;374,8;20/03/2013
MX-2014-128405;KD-16270;FUR-CH-10002093;897,48;9;374,38;30/12/2013
ES-2011-1858721;SC-20845;FUR-BO-10003103;2056,05;5;372,5;04/10/2012
MX-2012-168865;CY-12745;TEC-CO-10001818;2365,6592;10;372,32;06/08/2012
IN-2011-52279;HL-15040;TEC-CO-10002040;1336,356;7;371,74;02/10/2012
IN-2012-14724;CT-11995;TEC-CO-10001654;3038,64;8;371,51;26/03/2014
ES-2013-3042991;CC-12370;OFF-AP-10002397;2698,65;9;369,98;21/11/2014
LT-2013-3900;GR-4560;TEC-CAN-10001853;3799,08;12;369,73;30/11/2011
IN-2012-18518;TT-21070;FUR-CH-10001207;2756,34;6;369,4;23/11/2012
IT-2012-4058325;PO-19195;TEC-PH-10002597;983,88;8;369,17;06/12/2012
IN-2012-42220;ED-13885;FUR-CH-10003232;1719,807;5;368,44;03/12/2013
IN-2014-17972;AP-10915;OFF-AP-10003917;1421,541;3;367,57;20/12/2012
MX-2014-151554;TM-21490;TEC-CO-10002617;1053,6884;5;367,55;13/09/2012
IT-2011-3270900;AW-10840;TEC-CO-10000556;1440,84;8;367,35;04/11/2013
IN-2011-28087;DP-13105;FUR-CH-10003232;2544,372;6;366,89;16/11/2013
CA-2012-123113;AT-10735;OFF-AP-10000275;2625,12;8;366,72;08/04/2013
RO-2012-9480;SG-10605;TEC-HEW-10003460;1554,48;8;366,58;23/05/2012
MX-2013-109981;BM-11785;TEC-PH-10004196;1278;3;365,9;18/11/2014
MX-2012-130351;FH-14365;TEC-PH-10002672;3474,08;8;365,65;14/04/2014
MX-2012-135076;DK-13375;TEC-PH-10000106;2550;6;365,2;29/08/2014
CA-2013-114972;PF-19225;OFF-AP-10003057;1101,48;4;364,76;16/05/2014
CA-2013-146633;TG-21310;OFF-BI-10003527;1016,792;1;363,87;13/12/2012
CA-2013-110499;YC-21895;TEC-CO-10002095;1199,976;3;363,78;31/03/2011
TU-2012-2690;SF-10200;TEC-SAM-10000345;934,248;14;363,73;04/02/2012
CA-2014-166709;HL-15040;TEC-CO-10004722;10499,97;3;363,19;29/05/2013
SG-2014-9460;JW-5220;TEC-CIS-10002259;3908,88;6;363,16;29/08/2012
MX-2014-164217;CC-12100;TEC-PH-10004182;2142,3;5;363,1;15/06/2011
ID-2014-80657;RD-19930;OFF-AP-10004350;1900,584;6;360,04;28/08/2014
CM-2012-6440;BP-1230;OFF-HOO-10000335;1840,68;6;359,58;27/10/2011
ES-2011-5287434;SA-20830;FUR-BO-10004129;2624,04;6;359,28;19/03/2014
IN-2012-79439;EM-13810;FUR-BO-10001372;3076,5;7;359,27;11/09/2014
IN-2013-58929;CS-12175;TEC-PH-10004664;3181,7718;6;359,09;28/08/2012
IT-2012-2646674;JD-16060;OFF-ST-10004597;1392,633;11;358,96;16/08/2014
IN-2011-63577;GH-14665;FUR-CH-10001664;1296,24;8;358,85;01/08/2013
IN-2014-16068;CM-11935;OFF-AP-10003240;1682,91;3;358,51;10/06/2013
MX-2011-150973;JB-16000;TEC-PH-10004196;1278;3;358,18;24/12/2014
RS-2014-4120;RB-9465;TEC-MOT-10003348;2570,76;4;357,89;15/12/2012
MX-2014-154935;RB-19795;FUR-TA-10000136;2332,96;5;357,79;23/02/2012
ID-2012-83604;PO-19195;FUR-BO-10002866;1582,2;6;357,21;11/10/2014
US-2014-117723;DL-13495;OFF-ST-10004459;1801,632;6;356,88;21/04/2014
IN-2013-81112;TS-21205;FUR-TA-10001276;1512;6;356,84;12/06/2013
CA-2013-147368;TC-21295;TEC-MA-10002178;695,7;2;356,68;17/09/2013
SF-2014-3560;MV-8190;TEC-APP-10002966;2550;4;355,92;19/09/2014
CA-2012-147830;NF-18385;TEC-AC-10002049;2025,36;6;355,61;26/11/2014
ES-2012-1439357;BD-11560;FUR-CH-10000685;2285,7;5;355,06;20/06/2014
IN-2014-16054;PS-18760;FUR-BO-10001541;1029,2589;9;354,47;23/10/2014
US-2014-148817;FM-14215;TEC-CO-10003931;1058,2792;5;354,42;16/08/2011
IN-2013-50809;CA-12775;TEC-PH-10000169;5751,54;9;353,85;24/08/2012
